🕘️更新时间,#genre#
三沙卫视,http://107.150.60.122/live/ssws.m3u8$订阅源
三沙卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ssws$订阅源
天津卫视,http://107.150.60.122/live/tjwshd.m3u8$订阅源
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd$订阅源
西藏卫视,https://live.264788.xyz/channel/xizangweishi?streamid=4b4e8ea919f1cfd5e43deed1d1675251&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
西藏卫视,http://107.150.60.122/live/xzws.m3u8$订阅源
西藏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws$订阅源
新疆卫视,https://live.264788.xyz/channel/xinjiangweishi?streamid=4f481f56ae39ce5d24203471de9df635&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
新疆卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xjws$订阅源
新疆卫视,http://107.150.60.122/live/xjws.m3u8$订阅源
云南卫视,http://107.150.60.122/live/ynwshd.m3u8$订阅源
云南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd$订阅源
云南卫视,http://192.151.150.154/live/ynwshd.m3u8$订阅源

☘️广东频道,#genre#
广东民生,http://38.75.136.137:98/gslb/dsdqpub/gdgg.m3u8?auth=testpub$订阅源
大湾区卫视,http://198.204.228.26/live/nfws.m3u8$订阅源
大湾区卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nfws$订阅源
大湾区卫视,http://107.150.60.122/live/nfws.m3u8$订阅源
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=439b0fd2cf766b363c93a59cbcbe1370&txTime=18d00acf488$订阅源
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$订阅源
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$订阅源
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$订阅源

🇭🇰港澳频道,#genre#
凤凰资讯,http://101.35.240.114:88/phenix.php?id=fhzx$订阅源

🇹🇼台湾频道,#genre#
台视,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8$订阅源
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8$订阅源

🏅体育频道,#genre#
CCTV-风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq$订阅源
CCTV-风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub$订阅源
CCTV-风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8$订阅源

🎬电影频道,#genre#
CHC动作电影,http://198.204.228.26/live/chcdz.m3u8$订阅源
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8$订阅源
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub$订阅源
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8$订阅源
CHC家庭影院,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcjt$订阅源
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8$订阅源
怀旧剧场,https://live.264788.xyz/channel/huaijiujuchang?streamid=7e5d1abdddde08f588234f3f640f75ff&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub$订阅源
怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc$订阅源

🌍纪录片频道,#genre#
国家地理,http://88.212.15.19/live/ngc_hun/index.m3u8$订阅源
历史频道,http://88.212.15.19/live/history_hun/index.m3u8$订阅源
历史频道,http://88.212.15.19/live/test_history/playlist.m3u8$订阅源

👶少儿频道,#genre#

🌐国际频道,#genre#
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8$订阅源
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8$订阅源
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$订阅源
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8$订阅源

📻数字频道,#genre#
CCTV-风云剧场,https://live.264788.xyz/channel/fengyunjuchang?streamid=31e7b5b7032d25dd215a4069cdee1a48&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub$订阅源
CCTV-风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8$订阅源
CCTV-第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=e9b0fb1ca135a4aeae12944494883794&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=d81e188b59ece96b7e8f1ce34aea3ef8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk$订阅源
CCTV-第一剧场,http://173.208.212.130:8181/720p/dyjc.m3u8$订阅源
CCTV-女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss$订阅源
CCTV-女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub$订阅源
CCTV-女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8$订阅源
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8$订阅源

🎵音乐频道,#genre#

📰新闻频道,#genre#

📺数字电视,#genre#
